1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000063487541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jul 07 09:54:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 17 09:34:01 UTC 2020
Total Mission Samples:  7950
Total Device Samples:  44158
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/08/17 9:34:01 AM,%RH,63.732
2020/08/17 9:44:01 AM,%RH,62.864
2020/08/17 9:54:01 AM,%RH,64.02
2020/08/17 10:04:01 AM,%RH,64.02
2020/08/17 10:14:01 AM,%RH,66.027
2020/08/17 10:24:01 AM,%RH,64.883
2020/08/17 10:34:01 AM,%RH,64.164
2020/08/17 10:44:01 AM,%RH,67.873
2020/08/17 10:54:01 AM,%RH,66.597
2020/08/17 11:04:01 AM,%RH,65.742
2020/08/17 11:14:01 AM,%RH,64.02
2020/08/17 11:24:01 AM,%RH,63.876
2020/08/17 11:34:01 AM,%RH,64.596
2020/08/17 11:44:01 AM,%RH,63.732
2020/08/17 11:54:01 AM,%RH,64.596
2020/08/17 12:04:01 PM,%RH,64.02
2020/08/17 12:14:01 PM,%RH,63.299
2020/08/17 12:24:01 PM,%RH,63.732
2020/08/17 12:34:01 PM,%RH,62.719
2020/08/17 12:44:01 PM,%RH,62.284
2020/08/17 12:54:01 PM,%RH,62.139
2020/08/17 1:04:01 PM,%RH,63.588
2020/08/17 1:14:01 PM,%RH,65.742
2020/08/17 1:24:01 PM,%RH,67.165
2020/08/17 1:34:01 PM,%RH,64.739
2020/08/17 1:44:01 PM,%RH,64.308
2020/08/17 1:54:01 PM,%RH,63.876
2020/08/17 2:04:01 PM,%RH,68.014
2020/08/17 2:14:01 PM,%RH,69.28
2020/08/17 2:24:01 PM,%RH,65.313
2020/08/17 2:34:01 PM,%RH,66.312
2020/08/17 2:44:01 PM,%RH,65.026
2020/08/17 2:54:01 PM,%RH,66.881
2020/08/17 3:04:01 PM,%RH,64.883
2020/08/17 3:14:01 PM,%RH,65.599
2020/08/17 3:24:01 PM,%RH,66.739
2020/08/17 3:34:01 PM,%RH,66.17
2020/08/17 3:44:01 PM,%RH,66.739
2020/08/17 3:54:01 PM,%RH,66.739
2020/08/17 4:04:01 PM,%RH,66.312
2020/08/17 4:14:01 PM,%RH,66.17
2020/08/17 4:24:01 PM,%RH,66.455
2020/08/17 4:34:01 PM,%RH,66.312
2020/08/17 4:44:01 PM,%RH,66.455
2020/08/17 4:54:01 PM,%RH,66.455
2020/08/17 5:04:01 PM,%RH,66.597
2020/08/17 5:14:01 PM,%RH,67.023
2020/08/17 5:24:01 PM,%RH,66.455
2020/08/17 5:34:01 PM,%RH,66.881
2020/08/17 5:44:01 PM,%RH,66.739
2020/08/17 5:54:01 PM,%RH,65.456
2020/08/17 6:04:01 PM,%RH,65.026
2020/08/17 6:14:01 PM,%RH,64.164
2020/08/17 6:24:01 PM,%RH,64.02
2020/08/17 6:34:01 PM,%RH,64.308
2020/08/17 6:44:01 PM,%RH,65.026
2020/08/17 6:54:01 PM,%RH,64.739
2020/08/17 7:04:01 PM,%RH,63.588
2020/08/17 7:14:01 PM,%RH,63.876
2020/08/17 7:24:01 PM,%RH,63.588
2020/08/17 7:34:01 PM,%RH,63.588
2020/08/17 7:44:01 PM,%RH,62.719
2020/08/17 7:54:01 PM,%RH,63.588
2020/08/17 8:04:01 PM,%RH,61.264
2020/08/17 8:14:01 PM,%RH,62.429
2020/08/17 8:24:01 PM,%RH,61.41
2020/08/17 8:34:01 PM,%RH,61.556
2020/08/17 8:44:01 PM,%RH,61.264
2020/08/17 8:54:01 PM,%RH,60.972
2020/08/17 9:04:01 PM,%RH,61.41
2020/08/17 9:14:01 PM,%RH,61.847
2020/08/17 9:24:01 PM,%RH,61.118
2020/08/17 9:34:01 PM,%RH,61.41
2020/08/17 9:44:01 PM,%RH,62.139
2020/08/17 9:54:01 PM,%RH,61.847
2020/08/17 10:04:01 PM,%RH,61.702
2020/08/17 10:14:01 PM,%RH,61.264
2020/08/17 10:24:01 PM,%RH,61.118
2020/08/17 10:34:01 PM,%RH,60.533
2020/08/17 10:44:01 PM,%RH,61.118
2020/08/17 10:54:01 PM,%RH,61.556
2020/08/17 11:04:01 PM,%RH,61.118
2020/08/17 11:14:01 PM,%RH,60.825
2020/08/17 11:24:01 PM,%RH,61.556
2020/08/17 11:34:01 PM,%RH,61.993
2020/08/17 11:44:01 PM,%RH,62.864
2020/08/17 11:54:01 PM,%RH,61.41
2020/08/18 12:04:01 AM,%RH,60.825
2020/08/18 12:14:01 AM,%RH,61.702
2020/08/18 12:24:01 AM,%RH,63.154
2020/08/18 12:34:01 AM,%RH,61.556
2020/08/18 12:44:01 AM,%RH,62.284
2020/08/18 12:54:01 AM,%RH,61.847
2020/08/18 1:04:01 AM,%RH,63.443
2020/08/18 1:14:01 AM,%RH,63.299
2020/08/18 1:24:01 AM,%RH,61.118
2020/08/18 1:34:01 AM,%RH,62.574
2020/08/18 1:44:01 AM,%RH,62.139
2020/08/18 1:54:01 AM,%RH,62.719
2020/08/18 2:04:01 AM,%RH,63.299
2020/08/18 2:14:01 AM,%RH,61.41
2020/08/18 2:24:01 AM,%RH,63.876
2020/08/18 2:34:01 AM,%RH,61.847
2020/08/18 2:44:01 AM,%RH,61.702
2020/08/18 2:54:01 AM,%RH,61.993
2020/08/18 3:04:01 AM,%RH,62.574
2020/08/18 3:14:01 AM,%RH,63.299
2020/08/18 3:24:01 AM,%RH,63.154
2020/08/18 3:34:01 AM,%RH,62.429
2020/08/18 3:44:01 AM,%RH,63.588
2020/08/18 3:54:01 AM,%RH,62.574
2020/08/18 4:04:01 AM,%RH,64.02
2020/08/18 4:14:01 AM,%RH,63.732
2020/08/18 4:24:01 AM,%RH,63.299
2020/08/18 4:34:01 AM,%RH,64.308
2020/08/18 4:44:01 AM,%RH,62.284
2020/08/18 4:54:01 AM,%RH,62.429
2020/08/18 5:04:01 AM,%RH,61.993
2020/08/18 5:14:01 AM,%RH,62.864
2020/08/18 5:24:01 AM,%RH,62.284
2020/08/18 5:34:01 AM,%RH,63.299
2020/08/18 5:44:01 AM,%RH,61.993
2020/08/18 5:54:01 AM,%RH,63.154
2020/08/18 6:04:01 AM,%RH,62.574
2020/08/18 6:14:01 AM,%RH,62.139
2020/08/18 6:24:01 AM,%RH,63.299
2020/08/18 6:34:01 AM,%RH,63.443
2020/08/18 6:44:01 AM,%RH,61.847
2020/08/18 6:54:01 AM,%RH,60.825
2020/08/18 7:04:01 AM,%RH,62.284
2020/08/18 7:14:01 AM,%RH,62.139
2020/08/18 7:24:01 AM,%RH,61.702
2020/08/18 7:34:01 AM,%RH,61.41
2020/08/18 7:44:01 AM,%RH,61.702
2020/08/18 7:54:01 AM,%RH,61.702
2020/08/18 8:04:01 AM,%RH,61.847
2020/08/18 8:14:01 AM,%RH,61.118
2020/08/18 8:24:01 AM,%RH,61.41
2020/08/18 8:34:01 AM,%RH,60.679
2020/08/18 8:44:01 AM,%RH,61.702
2020/08/18 8:54:01 AM,%RH,62.139
2020/08/18 9:04:01 AM,%RH,62.284
2020/08/18 9:14:01 AM,%RH,61.556
2020/08/18 9:24:01 AM,%RH,61.847
2020/08/18 9:34:01 AM,%RH,61.264
2020/08/18 9:44:01 AM,%RH,61.41
2020/08/18 9:54:01 AM,%RH,62.284
2020/08/18 10:04:01 AM,%RH,62.139
2020/08/18 10:14:01 AM,%RH,62.574
2020/08/18 10:24:01 AM,%RH,62.574
2020/08/18 10:34:01 AM,%RH,63.299
2020/08/18 10:44:01 AM,%RH,65.599
2020/08/18 10:54:01 AM,%RH,64.164
2020/08/18 11:04:01 AM,%RH,63.443
2020/08/18 11:14:01 AM,%RH,64.739
2020/08/18 11:24:01 AM,%RH,63.443
2020/08/18 11:34:01 AM,%RH,63.009
2020/08/18 11:44:01 AM,%RH,63.876
2020/08/18 11:54:01 AM,%RH,64.739
2020/08/18 12:04:01 PM,%RH,64.164
2020/08/18 12:14:01 PM,%RH,62.574
2020/08/18 12:24:01 PM,%RH,63.588
2020/08/18 12:34:01 PM,%RH,64.739
2020/08/18 12:44:01 PM,%RH,64.596
2020/08/18 12:54:01 PM,%RH,64.452
2020/08/18 1:04:01 PM,%RH,65.026
2020/08/18 1:14:01 PM,%RH,65.456
2020/08/18 1:24:01 PM,%RH,66.597
2020/08/18 1:34:01 PM,%RH,66.17
2020/08/18 1:44:01 PM,%RH,65.599
2020/08/18 1:54:01 PM,%RH,65.742
