1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB00000063436C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jul 29 09:23:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 29 09:23:01 UTC 2020
Total Mission Samples:  2048
Total Device Samples:  36247
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/07/29 9:23:01 AM,%RH,79.512
2020/07/29 9:33:01 AM,%RH,75.529
2020/07/29 9:43:01 AM,%RH,75.668
2020/07/29 9:53:01 AM,%RH,70.039
2020/07/29 10:03:01 AM,%RH,70.751
2020/07/29 10:13:01 AM,%RH,66.584
2020/07/29 10:23:01 AM,%RH,69.324
2020/07/29 10:33:01 AM,%RH,71.461
2020/07/29 10:43:01 AM,%RH,73.576
2020/07/29 10:53:01 AM,%RH,70.894
2020/07/29 11:03:01 AM,%RH,72.733
2020/07/29 11:13:01 AM,%RH,72.874
2020/07/29 11:23:01 AM,%RH,72.451
2020/07/29 11:33:01 AM,%RH,72.592
2020/07/29 11:43:01 AM,%RH,70.894
2020/07/29 11:53:01 AM,%RH,70.039
2020/07/29 12:03:01 PM,%RH,70.894
2020/07/29 12:13:01 PM,%RH,72.027
2020/07/29 12:23:01 PM,%RH,73.996
2020/07/29 12:33:01 PM,%RH,69.181
2020/07/29 12:43:01 PM,%RH,69.037
2020/07/29 12:53:01 PM,%RH,70.751
2020/07/29 1:03:01 PM,%RH,69.037
2020/07/29 1:13:01 PM,%RH,69.753
2020/07/29 1:23:01 PM,%RH,67.886
2020/07/29 1:33:01 PM,%RH,67.742
2020/07/29 1:43:01 PM,%RH,67.164
2020/07/29 1:53:01 PM,%RH,67.598
2020/07/29 2:03:01 PM,%RH,67.598
2020/07/29 2:13:01 PM,%RH,67.019
2020/07/29 2:23:01 PM,%RH,66.148
2020/07/29 2:33:01 PM,%RH,65.711
2020/07/29 2:43:01 PM,%RH,67.019
2020/07/29 2:53:01 PM,%RH,66.293
2020/07/29 3:03:01 PM,%RH,67.164
2020/07/29 3:13:01 PM,%RH,67.742
2020/07/29 3:23:01 PM,%RH,67.453
2020/07/29 3:33:01 PM,%RH,70.039
2020/07/29 3:43:01 PM,%RH,70.467
2020/07/29 3:53:01 PM,%RH,71.178
2020/07/29 4:03:01 PM,%RH,72.169
2020/07/29 4:13:01 PM,%RH,72.733
2020/07/29 4:23:01 PM,%RH,73.155
2020/07/29 4:33:01 PM,%RH,74.415
2020/07/29 4:43:01 PM,%RH,74.555
2020/07/29 4:53:01 PM,%RH,74.973
2020/07/29 5:03:01 PM,%RH,76.36
2020/07/29 5:13:01 PM,%RH,75.807
2020/07/29 5:23:01 PM,%RH,76.084
2020/07/29 5:33:01 PM,%RH,76.222
2020/07/29 5:43:01 PM,%RH,77.325
2020/07/29 5:53:01 PM,%RH,79.92
2020/07/29 6:03:01 PM,%RH,79.512
2020/07/29 6:13:01 PM,%RH,80.326
2020/07/29 6:23:01 PM,%RH,82.344
2020/07/29 6:33:01 PM,%RH,80.191
2020/07/29 6:43:01 PM,%RH,81.942
2020/07/29 6:53:01 PM,%RH,83.278
2020/07/29 7:03:01 PM,%RH,84.603
2020/07/29 7:13:01 PM,%RH,84.603
2020/07/29 7:23:01 PM,%RH,84.603
2020/07/29 7:33:01 PM,%RH,86.834
2020/07/29 7:43:01 PM,%RH,86.311
2020/07/29 7:53:01 PM,%RH,87.224
2020/07/29 8:03:01 PM,%RH,87.354
2020/07/29 8:13:01 PM,%RH,87.224
2020/07/29 8:23:01 PM,%RH,88.132
2020/07/29 8:33:01 PM,%RH,88.39
2020/07/29 8:43:01 PM,%RH,89.163
2020/07/29 8:53:01 PM,%RH,89.163
2020/07/29 9:03:01 PM,%RH,89.677
2020/07/29 9:13:01 PM,%RH,89.677
2020/07/29 9:23:01 PM,%RH,89.933
2020/07/29 9:33:01 PM,%RH,90.316
2020/07/29 9:43:01 PM,%RH,91.334
2020/07/29 9:53:01 PM,%RH,91.587
2020/07/29 10:03:01 PM,%RH,91.714
2020/07/29 10:13:01 PM,%RH,92.219
2020/07/29 10:23:01 PM,%RH,91.967
2020/07/29 10:33:01 PM,%RH,92.723
2020/07/29 10:43:01 PM,%RH,92.597
2020/07/29 10:53:01 PM,%RH,93.099
2020/07/29 11:03:01 PM,%RH,91.84
2020/07/29 11:13:01 PM,%RH,92.723
2020/07/29 11:23:01 PM,%RH,92.974
2020/07/29 11:33:01 PM,%RH,91.967
2020/07/29 11:43:01 PM,%RH,92.093
2020/07/29 11:53:01 PM,%RH,91.587
2020/07/30 12:03:01 AM,%RH,91.334
2020/07/30 12:13:01 AM,%RH,91.714
2020/07/30 12:23:01 AM,%RH,90.953
2020/07/30 12:33:01 AM,%RH,92.093
2020/07/30 12:43:01 AM,%RH,91.461
2020/07/30 12:53:01 AM,%RH,91.84
2020/07/30 1:03:01 AM,%RH,91.714
2020/07/30 1:13:01 AM,%RH,92.093
2020/07/30 1:23:01 AM,%RH,92.471
2020/07/30 1:33:01 AM,%RH,92.345
2020/07/30 1:43:01 AM,%RH,92.974
2020/07/30 1:53:01 AM,%RH,93.35
2020/07/30 2:03:01 AM,%RH,93.475
2020/07/30 2:13:01 AM,%RH,92.471
2020/07/30 2:23:01 AM,%RH,91.967
2020/07/30 2:33:01 AM,%RH,92.848
2020/07/30 2:43:01 AM,%RH,92.974
2020/07/30 2:53:01 AM,%RH,92.974
2020/07/30 3:03:01 AM,%RH,93.6
2020/07/30 3:13:01 AM,%RH,93.725
2020/07/30 3:23:01 AM,%RH,94.348
2020/07/30 3:33:01 AM,%RH,93.35
