1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB00000063436C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jul 29 09:23:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 29 09:23:01 UTC 2020
Total Mission Samples:  2048
Total Device Samples:  36247
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/07/29 9:23:01 AM,C,28.324
2020/07/29 9:33:01 AM,C,28.386
2020/07/29 9:43:01 AM,C,28.573
2020/07/29 9:53:01 AM,C,30.135
2020/07/29 10:03:01 AM,C,30.323
2020/07/29 10:13:01 AM,C,30.947
2020/07/29 10:23:01 AM,C,30.135
2020/07/29 10:33:01 AM,C,28.886
2020/07/29 10:43:01 AM,C,28.573
2020/07/29 10:53:01 AM,C,29.386
2020/07/29 11:03:01 AM,C,28.636
2020/07/29 11:13:01 AM,C,28.449
2020/07/29 11:23:01 AM,C,28.948
2020/07/29 11:33:01 AM,C,28.823
2020/07/29 11:43:01 AM,C,29.323
2020/07/29 11:53:01 AM,C,29.448
2020/07/29 12:03:01 PM,C,28.886
2020/07/29 12:13:01 PM,C,29.011
2020/07/29 12:23:01 PM,C,29.073
2020/07/29 12:33:01 PM,C,29.573
2020/07/29 12:43:01 PM,C,29.698
2020/07/29 12:53:01 PM,C,29.323
2020/07/29 1:03:01 PM,C,29.386
2020/07/29 1:13:01 PM,C,29.261
2020/07/29 1:23:01 PM,C,29.885
2020/07/29 1:33:01 PM,C,29.948
2020/07/29 1:43:01 PM,C,29.885
2020/07/29 1:53:01 PM,C,29.698
2020/07/29 2:03:01 PM,C,29.573
2020/07/29 2:13:01 PM,C,29.511
2020/07/29 2:23:01 PM,C,29.76
2020/07/29 2:33:01 PM,C,29.885
2020/07/29 2:43:01 PM,C,29.76
2020/07/29 2:53:01 PM,C,29.511
2020/07/29 3:03:01 PM,C,29.261
2020/07/29 3:13:01 PM,C,29.011
2020/07/29 3:23:01 PM,C,29.198
2020/07/29 3:33:01 PM,C,28.761
2020/07/29 3:43:01 PM,C,28.573
2020/07/29 3:53:01 PM,C,28.199
2020/07/29 4:03:01 PM,C,28.136
2020/07/29 4:13:01 PM,C,27.949
2020/07/29 4:23:01 PM,C,27.949
2020/07/29 4:33:01 PM,C,27.886
2020/07/29 4:43:01 PM,C,27.761
2020/07/29 4:53:01 PM,C,27.449
2020/07/29 5:03:01 PM,C,27.199
2020/07/29 5:13:01 PM,C,27.199
2020/07/29 5:23:01 PM,C,27.199
2020/07/29 5:33:01 PM,C,26.887
2020/07/29 5:43:01 PM,C,26.762
2020/07/29 5:53:01 PM,C,26.387
2020/07/29 6:03:01 PM,C,26.512
2020/07/29 6:13:01 PM,C,26.199
2020/07/29 6:23:01 PM,C,26.012
2020/07/29 6:33:01 PM,C,26.199
2020/07/29 6:43:01 PM,C,25.887
2020/07/29 6:53:01 PM,C,25.762
