1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D00000063434C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jul 29 09:18:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 29 09:18:01 UTC 2020
Total Mission Samples:  2048
Total Device Samples:  43592
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/07/29 9:18:01 AM,C,28.332
2020/07/29 9:28:01 AM,C,22.019
2020/07/29 9:38:01 AM,C,22.019
2020/07/29 9:48:01 AM,C,22.082
2020/07/29 9:58:01 AM,C,21.957
2020/07/29 10:08:01 AM,C,22.082
2020/07/29 10:18:01 AM,C,22.082
2020/07/29 10:28:01 AM,C,22.019
2020/07/29 10:38:01 AM,C,22.019
2020/07/29 10:48:01 AM,C,22.082
2020/07/29 10:58:01 AM,C,21.957
2020/07/29 11:08:01 AM,C,21.957
2020/07/29 11:18:01 AM,C,22.019
2020/07/29 11:28:01 AM,C,22.019
2020/07/29 11:38:01 AM,C,22.019
2020/07/29 11:48:01 AM,C,21.957
2020/07/29 11:58:01 AM,C,21.894
2020/07/29 12:08:01 PM,C,21.894
2020/07/29 12:18:01 PM,C,21.832
2020/07/29 12:28:01 PM,C,21.894
2020/07/29 12:38:01 PM,C,21.894
2020/07/29 12:48:01 PM,C,21.957
2020/07/29 12:58:01 PM,C,21.894
2020/07/29 1:08:01 PM,C,21.894
2020/07/29 1:18:01 PM,C,21.894
2020/07/29 1:28:01 PM,C,21.894
2020/07/29 1:38:01 PM,C,21.832
2020/07/29 1:48:01 PM,C,21.894
2020/07/29 1:58:01 PM,C,21.894
2020/07/29 2:08:01 PM,C,21.894
2020/07/29 2:18:01 PM,C,21.957
2020/07/29 2:28:01 PM,C,21.957
2020/07/29 2:38:01 PM,C,21.957
2020/07/29 2:48:01 PM,C,22.019
2020/07/29 2:58:01 PM,C,22.082
2020/07/29 3:08:01 PM,C,22.144
2020/07/29 3:18:01 PM,C,22.144
2020/07/29 3:28:01 PM,C,22.144
2020/07/29 3:38:01 PM,C,22.144
2020/07/29 3:48:01 PM,C,22.207
2020/07/29 3:58:01 PM,C,22.332
2020/07/29 4:08:01 PM,C,22.394
2020/07/29 4:18:01 PM,C,22.394
2020/07/29 4:28:01 PM,C,22.394
2020/07/29 4:38:01 PM,C,22.457
2020/07/29 4:48:01 PM,C,22.519
2020/07/29 4:58:01 PM,C,22.582
2020/07/29 5:08:01 PM,C,22.582
2020/07/29 5:18:01 PM,C,22.644
2020/07/29 5:28:01 PM,C,22.644
2020/07/29 5:38:01 PM,C,22.644
2020/07/29 5:48:01 PM,C,22.582
2020/07/29 5:58:01 PM,C,22.582
2020/07/29 6:08:01 PM,C,22.519
2020/07/29 6:18:01 PM,C,22.519
2020/07/29 6:28:01 PM,C,22.519
2020/07/29 6:38:01 PM,C,22.519
2020/07/29 6:48:01 PM,C,22.519
2020/07/29 6:58:01 PM,C,22.457
2020/07/29 7:08:01 PM,C,22.394
2020/07/29 7:18:01 PM,C,22.394
2020/07/29 7:28:01 PM,C,22.457
2020/07/29 7:38:01 PM,C,22.332
2020/07/29 7:48:01 PM,C,22.332
2020/07/29 7:58:01 PM,C,22.394
2020/07/29 8:08:01 PM,C,22.332
2020/07/29 8:18:01 PM,C,22.332
2020/07/29 8:28:01 PM,C,22.332
2020/07/29 8:38:01 PM,C,22.332
2020/07/29 8:48:01 PM,C,22.332
2020/07/29 8:58:01 PM,C,22.269
2020/07/29 9:08:01 PM,C,22.269
2020/07/29 9:18:01 PM,C,22.269
2020/07/29 9:28:01 PM,C,22.144
2020/07/29 9:38:01 PM,C,22.269
2020/07/29 9:48:01 PM,C,22.207
2020/07/29 9:58:01 PM,C,22.207
2020/07/29 10:08:01 PM,C,22.207
2020/07/29 10:18:01 PM,C,22.144
2020/07/29 10:28:01 PM,C,22.082
2020/07/29 10:38:01 PM,C,22.207
2020/07/29 10:48:01 PM,C,22.207
2020/07/29 10:58:01 PM,C,22.144
2020/07/29 11:08:01 PM,C,22.207
2020/07/29 11:18:01 PM,C,22.144
2020/07/29 11:28:01 PM,C,22.144
2020/07/29 11:38:01 PM,C,22.207
2020/07/29 11:48:01 PM,C,22.144
2020/07/29 11:58:01 PM,C,22.144
2020/07/30 12:08:01 AM,C,22.144
2020/07/30 12:18:01 AM,C,22.207
2020/07/30 12:28:01 AM,C,22.144
2020/07/30 12:38:01 AM,C,22.144
2020/07/30 12:48:01 AM,C,22.082
2020/07/30 12:58:01 AM,C,22.082
2020/07/30 1:08:01 AM,C,22.144
2020/07/30 1:18:01 AM,C,22.144
2020/07/30 1:28:01 AM,C,22.144
2020/07/30 1:38:01 AM,C,22.144
2020/07/30 1:48:01 AM,C,22.207
2020/07/30 1:58:01 AM,C,22.144
2020/07/30 2:08:01 AM,C,22.207
2020/07/30 2:18:01 AM,C,22.144
2020/07/30 2:28:01 AM,C,22.207
2020/07/30 2:38:01 AM,C,22.207
2020/07/30 2:48:01 AM,C,22.207
2020/07/30 2:58:01 AM,C,22.082
2020/07/30 3:08:01 AM,C,22.144
2020/07/30 3:18:01 AM,C,22.207
2020/07/30 3:28:01 AM,C,22.082
2020/07/30 3:38:01 AM,C,22.207
2020/07/30 3:48:01 AM,C,22.144
2020/07/30 3:58:01 AM,C,22.082
2020/07/30 4:08:01 AM,C,22.082
2020/07/30 4:18:01 AM,C,22.144
2020/07/30 4:28:01 AM,C,22.144
2020/07/30 4:38:01 AM,C,22.082
2020/07/30 4:48:01 AM,C,22.144
2020/07/30 4:58:01 AM,C,22.144
2020/07/30 5:08:01 AM,C,22.144
2020/07/30 5:18:01 AM,C,22.144
2020/07/30 5:28:01 AM,C,22.144
2020/07/30 5:38:01 AM,C,22.144
2020/07/30 5:48:01 AM,C,22.144
2020/07/30 5:58:01 AM,C,22.144
2020/07/30 6:08:01 AM,C,22.082
2020/07/30 6:18:01 AM,C,22.082
2020/07/30 6:28:01 AM,C,22.144
