1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D10000006348F941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jul 07 10:00:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jul 07 10:00:01 UTC 2020
Total Mission Samples:  2048
Total Device Samples:  38119
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/07/07 10:00:01 AM,%RH,70.749
2020/07/07 10:10:01 AM,%RH,57.6
2020/07/07 10:20:01 AM,%RH,68.501
2020/07/07 10:30:01 AM,%RH,72.831
2020/07/07 10:40:01 AM,%RH,73.795
2020/07/07 10:50:01 AM,%RH,73.382
2020/07/07 11:00:01 AM,%RH,71.862
2020/07/07 11:10:01 AM,%RH,71.167
2020/07/07 11:20:01 AM,%RH,70.469
2020/07/07 11:30:01 AM,%RH,71.723
2020/07/07 11:40:01 AM,%RH,72.001
2020/07/07 11:50:01 AM,%RH,72.831
2020/07/07 12:00:01 PM,%RH,72.969
2020/07/07 12:10:01 PM,%RH,72.555
2020/07/07 12:20:01 PM,%RH,73.932
2020/07/07 12:30:01 PM,%RH,73.932
2020/07/07 12:40:01 PM,%RH,73.382
2020/07/07 12:50:01 PM,%RH,72.693
2020/07/07 1:00:01 PM,%RH,73.107
2020/07/07 1:10:01 PM,%RH,73.382
2020/07/07 1:20:01 PM,%RH,73.932
2020/07/07 1:30:01 PM,%RH,74.343
2020/07/07 1:40:01 PM,%RH,74.343
2020/07/07 1:50:01 PM,%RH,74.48
2020/07/07 2:00:01 PM,%RH,75.026
2020/07/07 2:10:01 PM,%RH,74.48
2020/07/07 2:20:01 PM,%RH,74.48
2020/07/07 2:30:01 PM,%RH,75.026
2020/07/07 2:40:01 PM,%RH,74.617
2020/07/07 2:50:01 PM,%RH,74.753
2020/07/07 3:00:01 PM,%RH,75.435
2020/07/07 3:10:01 PM,%RH,75.978
2020/07/07 3:20:01 PM,%RH,74.89
2020/07/07 3:30:01 PM,%RH,74.48
2020/07/07 3:40:01 PM,%RH,74.617
2020/07/07 3:50:01 PM,%RH,73.52
2020/07/07 4:00:01 PM,%RH,73.932
2020/07/07 4:10:01 PM,%RH,73.382
2020/07/07 4:20:01 PM,%RH,73.245
2020/07/07 4:30:01 PM,%RH,71.445
2020/07/07 4:40:01 PM,%RH,71.862
2020/07/07 4:50:01 PM,%RH,69.768
2020/07/07 5:00:01 PM,%RH,70.469
2020/07/07 5:10:01 PM,%RH,70.049
2020/07/07 5:20:01 PM,%RH,70.469
2020/07/07 5:30:01 PM,%RH,69.065
2020/07/07 5:40:01 PM,%RH,69.347
2020/07/07 5:50:01 PM,%RH,68.924
2020/07/07 6:00:01 PM,%RH,69.065
2020/07/07 6:10:01 PM,%RH,68.924
2020/07/07 6:20:01 PM,%RH,68.783
2020/07/07 6:30:01 PM,%RH,68.783
2020/07/07 6:40:01 PM,%RH,68.642
2020/07/07 6:50:01 PM,%RH,69.768
2020/07/07 7:00:01 PM,%RH,69.487
2020/07/07 7:10:01 PM,%RH,69.206
2020/07/07 7:20:01 PM,%RH,69.628
2020/07/07 7:30:01 PM,%RH,69.768
2020/07/07 7:40:01 PM,%RH,69.768
2020/07/07 7:50:01 PM,%RH,70.189
2020/07/07 8:00:01 PM,%RH,69.347
2020/07/07 8:10:01 PM,%RH,69.347
2020/07/07 8:20:01 PM,%RH,69.487
2020/07/07 8:30:01 PM,%RH,69.909
2020/07/07 8:40:01 PM,%RH,69.487
2020/07/07 8:50:01 PM,%RH,68.924
2020/07/07 9:00:01 PM,%RH,69.206
2020/07/07 9:10:01 PM,%RH,69.206
2020/07/07 9:20:01 PM,%RH,69.768
2020/07/07 9:30:01 PM,%RH,69.206
2020/07/07 9:40:01 PM,%RH,69.628
2020/07/07 9:50:01 PM,%RH,69.909
2020/07/07 10:00:01 PM,%RH,70.189
2020/07/07 10:10:01 PM,%RH,70.049
